Model,Rank,Program,Time,Space,Value
VAE,10,VAE1,12h,SI5,0.02660304307937622
VAE,10,VAE1,12h,SI6,0.01759636402130127
VAE,10,VAE1,12h,SI7,0.0005058050155639648
VAE,10,VAE1,12h,SI8,0.026933789253234863
VAE,10,VAE1,12h,SI9,0.028369128704071045
VAE,10,VAE1,12h,ce,0.014126002788543701
VAE,10,VAE1,12h,co,0.0031193196773529053
VAE,10,VAE1,24h,st,-0.008195161819458008
VAE,10,VAE1,24h,SI1,0.002468891441822052
VAE,10,VAE1,24h,SI2,-0.001249551773071289
VAE,10,VAE1,24h,SI3,0.0016501545906066895
VAE,10,VAE1,24h,SI4,-0.0049097537994384766
VAE,10,VAE1,24h,SI5,0.003450840711593628
VAE,10,VAE1,24h,SI6,0.007749021053314209
VAE,10,VAE1,24h,SI7,0.0011890232563018799
VAE,10,VAE1,24h,SI8,-0.016142278909683228
VAE,10,VAE1,24h,SI9,0.001463472843170166
VAE,10,VAE1,24h,ce,-0.016356945037841797
VAE,10,VAE1,24h,co,-0.0012235939502716064
weighted_CPVAE,10,CPVAE1,1h,st,-0.07059739530086517
weighted_CPVAE,10,CPVAE1,1h,SI1,-0.09572773426771164
weighted_CPVAE,10,CPVAE1,1h,SI2,-0.07284974306821823
weighted_CPVAE,10,CPVAE1,1h,SI3,-0.03428039699792862
weighted_CPVAE,10,CPVAE1,1h,SI4,-0.061767153441905975
weighted_CPVAE,10,CPVAE1,1h,SI5,-0.05757269263267517
weighted_CPVAE,10,CPVAE1,1h,SI6,-0.03818356990814209
weighted_CPVAE,10,CPVAE1,1h,SI7,-0.04556940868496895
weighted_CPVAE,10,CPVAE1,1h,SI8,-0.029301125556230545
weighted_CPVAE,10,CPVAE1,1h,SI9,-0.0357569195330143
weighted_CPVAE,10,CPVAE1,1h,ce,-0.05566522851586342
weighted_CPVAE,10,CPVAE1,1h,co,-0.03947879746556282
weighted_CPVAE,10,CPVAE1,3h,st,-0.058757051825523376
weighted_CPVAE,10,CPVAE1,3h,SI1,-0.07967261970043182
weighted_CPVAE,10,CPVAE1,3h,SI2,-0.0606316439807415
weighted_CPVAE,10,CPVAE1,3h,SI3,-0.028531011193990707
weighted_CPVAE,10,CPVAE1,3h,SI4,-0.05140778422355652
weighted_CPVAE,10,CPVAE1,3h,SI5,-0.04791680723428726
weighted_CPVAE,10,CPVAE1,3h,SI6,-0.03177955746650696
weighted_CPVAE,10,CPVAE1,3h,SI7,-0.03792666643857956
weighted_CPVAE,10,CPVAE1,3h,SI8,-0.024386843666434288
weighted_CPVAE,10,CPVAE1,3h,SI9,-0.02975989691913128
weighted_CPVAE,10,CPVAE1,3h,ce,-0.046329252421855927
weighted_CPVAE,10,CPVAE1,3h,co,-0.03285755217075348
weighted_CPVAE,10,CPVAE1,6h,st,0.011692563071846962
weighted_CPVAE,10,CPVAE1,6h,SI1,0.0158547293394804
weighted_CPVAE,10,CPVAE1,6h,SI2,0.012065604329109192
weighted_CPVAE,10,CPVAE1,6h,SI3,0.005677627399563789
weighted_CPVAE,10,CPVAE1,6h,SI4,0.010230070911347866
weighted_CPVAE,10,CPVAE1,6h,SI5,0.009535371325910091
weighted_CPVAE,10,CPVAE1,6h,SI6,0.00632408307865262
weighted_CPVAE,10,CPVAE1,6h,SI7,0.007547348737716675
weighted_CPVAE,10,CPVAE1,6h,SI8,0.004852944519370794
weighted_CPVAE,10,CPVAE1,6h,SI9,0.005922174081206322
weighted_CPVAE,10,CPVAE1,6h,ce,0.009219449944794178
weighted_CPVAE,10,CPVAE1,6h,co,0.006538602989166975
weighted_CPVAE,10,CPVAE1,12h,st,0.058349236845970154
weighted_CPVAE,10,CPVAE1,12h,SI1,0.07911963760852814
weighted_CPVAE,10,CPVAE1,12h,SI2,0.06021081656217575
weighted_CPVAE,10,CPVAE1,12h,SI3,0.028332985937595367
weighted_CPVAE,10,CPVAE1,12h,SI4,0.051050979644060135
weighted_CPVAE,10,CPVAE1,12h,SI5,0.047584231942892075
weighted_CPVAE,10,CPVAE1,12h,SI6,0.03155898302793503
weighted_CPVAE,10,CPVAE1,12h,SI7,0.037663429975509644
weighted_CPVAE,10,CPVAE1,12h,SI8,0.02421758323907852
weighted_CPVAE,10,CPVAE1,12h,SI9,0.02955334261059761
weighted_CPVAE,10,CPVAE1,12h,ce,0.04600769653916359
weighted_CPVAE,10,CPVAE1,12h,co,0.032629501074552536
weighted_CPVAE,10,CPVAE1,24h,st,0.05165405198931694
weighted_CPVAE,10,CPVAE1,24h,SI1,0.07004118710756302
weighted_CPVAE,10,CPVAE1,24h,SI2,0.05330203101038933
weighted_CPVAE,10,CPVAE1,24h,SI3,0.025081966072320938
weighted_CPVAE,10,CPVAE1,24h,SI4,0.04519322142004967
weighted_CPVAE,10,CPVAE1,24h,SI5,0.04212426021695137
weighted_CPVAE,10,CPVAE1,24h,SI6,0.02793780341744423
weighted_CPVAE,10,CPVAE1,24h,SI7,0.03334180638194084
weighted_CPVAE,10,CPVAE1,24h,SI8,0.021438777446746826
weighted_CPVAE,10,CPVAE1,24h,SI9,0.026162294670939445
weighted_CPVAE,10,CPVAE1,24h,ce,0.0407286211848259
weighted_CPVAE,10,CPVAE1,24h,co,0.028885483741760254
PCA,10,PC2,1h,st,0.49514751849797317
PCA,10,PC2,1h,SI1,0.8250354400737413
PCA,10,PC2,1h,SI2,0.18985194889071016
PCA,10,PC2,1h,SI3,-0.2698718364259952
PCA,10,PC2,1h,SI4,-0.3992267220469103
PCA,10,PC2,1h,SI5,-0.4227895670685397
PCA,10,PC2,1h,SI6,-0.44823533829535966
PCA,10,PC2,1h,SI7,-0.3920453002568268
PCA,10,PC2,1h,SI8,-0.3187889401963728
PCA,10,PC2,1h,SI9,-0.16294779340384002
PCA,10,PC2,1h,ce,0.5883942479878246
PCA,10,PC2,1h,co,0.6368633325666503
PCA,10,PC2,3h,st,0.7834782874186179
PCA,10,PC2,3h,SI1,0.9319040257709059
PCA,10,PC2,3h,SI2,0.9760450896994601
PCA,10,PC2,3h,SI3,0.9945669398609787
PCA,10,PC2,3h,SI4,0.7539508223067829
PCA,10,PC2,3h,SI5,0.7425224016942766
PCA,10,PC2,3h,SI6,-0.09695044283708557
PCA,10,PC2,3h,SI7,0.12282173536071317
PCA,10,PC2,3h,SI8,0.201582175716674
PCA,10,PC2,3h,SI9,0.165480130825586
PCA,10,PC2,3h,ce,-0.33724275012602
PCA,10,PC2,3h,co,-0.37872155651448536
PCA,10,PC2,6h,st,0.7707440970640805
PCA,10,PC2,6h,SI1,0.7783501981040047
PCA,10,PC2,6h,SI2,0.8728669379701515
PCA,10,PC2,6h,SI3,0.9865431675860202
PCA,10,PC2,6h,SI4,0.4670271953294521
PCA,10,PC2,6h,SI5,-0.002423833815650367
PCA,10,PC2,6h,SI6,-0.7189196697944442
PCA,10,PC2,6h,SI7,-0.7342509186461316
PCA,10,PC2,6h,SI8,-0.6049250795752761
PCA,10,PC2,6h,SI9,-0.6359192823180037
PCA,10,PC2,6h,ce,-0.47570699849587095
PCA,10,PC2,6h,co,-0.38927399992587564
PCA,10,PC2,12h,st,0.6329521928122493
PCA,10,PC2,12h,SI1,0.8925803769598076
PCA,10,PC2,12h,SI2,0.7949989780696849
PCA,10,PC2,12h,SI3,0.7535909467920683
PCA,10,PC2,12h,SI4,-0.061215875014561855
PCA,10,PC2,12h,SI5,-0.5640460043723025
PCA,10,PC2,12h,SI6,-0.7692531974491796
PCA,10,PC2,12h,SI7,-0.7705129809708575
PCA,10,PC2,12h,SI8,-0.7009817246629041
PCA,10,PC2,12h,SI9,-0.7279875478897979
PCA,10,PC2,12h,ce,-0.5149150589731302
PCA,10,PC2,12h,co,-0.41917979753565
PCA,10,PC2,24h,st,-0.016235894922388142
PCA,10,PC2,24h,SI1,0.03396583048152335
PCA,10,PC2,24h,SI2,-0.13173890981372072
PCA,10,PC2,24h,SI3,-0.23849305849129485
PCA,10,PC2,24h,SI4,-0.39894553632543833
PCA,10,PC2,24h,SI5,-0.44453168553544375
PCA,10,PC2,24h,SI6,-0.473181404274159
PCA,10,PC2,24h,SI7,-0.49221980571966545
PCA,10,PC2,24h,SI8,-0.4883202781279961
PCA,10,PC2,24h,SI9,-0.45217463509736266
PCA,10,PC2,24h,ce,-0.4603970427152728
PCA,10,PC2,24h,co,-0.4786935502061272
CP,10,CP2,1h,st,0.28036878423848066
CP,10,CP2,1h,SI1,-0.037253715698840985
CP,10,CP2,1h,SI2,-0.21748633553150484
CP,10,CP2,1h,SI3,-0.3856586549860338
CP,10,CP2,1h,SI4,-0.4713907476329451
CP,10,CP2,1h,SI5,-0.4984604780739014
CP,10,CP2,1h,SI6,-0.395154731267016
CP,10,CP2,1h,SI7,-0.39690574569339027
CP,10,CP2,1h,SI8,-0.3757889630868522
CP,10,CP2,1h,SI9,-0.3155294864565888
CP,10,CP2,1h,ce,-0.10853725675087077
CP,10,CP2,1h,co,-0.013611276487002335
CP,10,CP2,3h,st,-0.3354150825068615
CP,10,CP2,3h,SI1,0.0445679363298352
CP,10,CP2,3h,SI2,0.26018658737117173
CP,10,CP2,3h,SI3,0.46137707495851693
CP,10,CP2,3h,SI4,0.5639414064576684
CP,10,CP2,3h,SI5,0.5963258814053817
CP,10,CP2,3h,SI6,0.4727375665265363
CP,10,CP2,3h,SI7,0.4748323669512278
CP,10,CP2,3h,SI8,0.4495696138259486
CP,10,CP2,3h,SI9,0.3774790728598477
CP,10,CP2,3h,ce,0.12984695506328459
CP,10,CP2,3h,co,0.0162836509717439
CP,10,CP2,6h,st,-0.02723999293732303
CP,10,CP2,6h,SI1,0.00361948622519364
CP,10,CP2,6h,SI2,0.021130477345877592
CP,10,CP2,6h,SI3,0.03746971713192314
CP,10,CP2,6h,SI4,0.04579925212115843
CP,10,CP2,6h,SI5,0.04842928551817056
CP,10,CP2,6h,SI6,0.03839233428963856
CP,10,CP2,6h,SI7,0.03856245886587174
CP,10,CP2,6h,SI8,0.03651080033111917
CP,10,CP2,6h,SI9,0.030656126736576167
CP,10,CP2,6h,ce,0.010545232827401007
CP,10,CP2,6h,co,0.0013224406432440713
CP,10,CP2,12h,st,0.03585374756383352
CP,10,CP2,12h,SI1,-0.004764030068857228
CP,10,CP2,12h,SI2,-0.027812297984275865
CP,10,CP2,12h,SI3,-0.049318286624645644
CP,10,CP2,12h,SI4,-0.060281763946953275
CP,10,CP2,12h,SI5,-0.06374345917271536
CP,10,CP2,12h,SI6,-0.050532651207885554
CP,10,CP2,12h,SI7,-0.05075657210333892
CP,10,CP2,12h,SI8,-0.04805614382637652
CP,10,CP2,12h,SI9,-0.040350121669528796
CP,10,CP2,12h,ce,-0.01387981695389683
CP,10,CP2,12h,co,-0.0017406191367275053
CP,10,CP2,24h,st,0.04889901787911336
CP,10,CP2,24h,SI1,-0.006497407031131988
CP,10,CP2,24h,SI2,-0.03793171282781582
CP,10,CP2,24h,SI3,-0.0672625860136985
CP,10,CP2,24h,SI4,-0.08221508916964625
CP,10,CP2,24h,SI5,-0.08693631102895703
CP,10,CP2,24h,SI6,-0.06891879323058395
CP,10,CP2,24h,SI7,-0.06922418702103185
CP,10,CP2,24h,SI8,-0.06554121663247342
CP,10,CP2,24h,SI9,-0.05503138318887981
CP,10,CP2,24h,ce,-0.018929943548552545
CP,10,CP2,24h,co,-0.002373937790910932
VAE,10,VAE2,1h,st,0.009868249297142029
VAE,10,VAE2,1h,SI1,0.01886051893234253
VAE,10,VAE2,1h,SI2,0.007754698395729065
VAE,10,VAE2,1h,SI3,-9.417533874511719e-06
VAE,10,VAE2,1h,SI4,-0.0038520395755767822
VAE,10,VAE2,1h,SI5,0.01056179404258728
VAE,10,VAE2,1h,SI6,0.009713590145111084
VAE,10,VAE2,1h,SI7,0.006195396184921265
VAE,10,VAE2,1h,SI8,0.013693928718566895
VAE,10,VAE2,1h,SI9,0.01708275079727173
VAE,10,VAE2,1h,ce,0.007225096225738525
VAE,10,VAE2,1h,co,0.0070619136095047
VAE,10,VAE2,3h,st,-0.034479185938835144
VAE,10,VAE2,3h,SI1,0.01405268907546997
VAE,10,VAE2,3h,SI2,-0.014063835144042969
VAE,10,VAE2,3h,SI3,0.02202630043029785
VAE,10,VAE2,3h,SI4,0.016292095184326172
VAE,10,VAE2,3h,SI5,-0.010662853717803955
VAE,10,VAE2,3h,SI6,0.00039499998092651367
VAE,10,VAE2,3h,SI7,0.0025016963481903076
VAE,10,VAE2,3h,SI8,0.0027565956115722656
VAE,10,VAE2,3h,SI9,-0.004813842475414276
VAE,10,VAE2,3h,ce,0.007267862558364868
VAE,10,VAE2,3h,co,0.0012709200382232666
VAE,10,VAE2,6h,st,-0.050577253103256226
VAE,10,VAE2,6h,SI1,-0.0005401372909545898
VAE,10,VAE2,6h,SI2,-0.009371459484100342
VAE,10,VAE2,6h,SI3,-0.0012530684471130371
VAE,10,VAE2,6h,SI4,0.012384116649627686
VAE,10,VAE2,6h,SI5,-0.002365976572036743
VAE,10,VAE2,6h,SI6,0.004318863153457642
VAE,10,VAE2,6h,SI7,0.005563169717788696
VAE,10,VAE2,6h,SI8,-6.908178329467773e-05
VAE,10,VAE2,6h,SI9,0.008258342742919922
VAE,10,VAE2,6h,ce,0.0036432892084121704
VAE,10,VAE2,6h,co,0.011012792587280273
VAE,10,VAE2,12h,st,0.0017502009868621826
VAE,10,VAE2,12h,SI1,0.01574474573135376
VAE,10,VAE2,12h,SI2,0.013673961162567139
VAE,10,VAE2,12h,SI3,-0.0001507401466369629
VAE,10,VAE2,12h,SI4,-0.006915457546710968
VAE,10,VAE2,12h,SI5,-0.00470377504825592
VAE,10,VAE2,12h,SI6,0.004447281360626221
VAE,10,VAE2,12h,SI7,0.001452028751373291
VAE,10,VAE2,12h,SI8,0.002469182014465332
VAE,10,VAE2,12h,SI9,-0.004178822040557861
VAE,10,VAE2,12h,ce,-0.001411527395248413
VAE,10,VAE2,12h,co,0.0027341246604919434
VAE,10,VAE2,24h,st,-0.006116405129432678
VAE,10,VAE2,24h,SI1,-0.0020416080951690674
VAE,10,VAE2,24h,SI2,-0.001144900918006897
VAE,10,VAE2,24h,SI3,-0.002993568778038025
VAE,10,VAE2,24h,SI4,0.004430919885635376
VAE,10,VAE2,24h,SI5,-0.0015471279621124268
VAE,10,VAE2,24h,SI6,-0.010379493236541748
VAE,10,VAE2,24h,SI7,-0.010568767786026001
VAE,10,VAE2,24h,SI8,-0.00040453672409057617
VAE,10,VAE2,24h,SI9,-0.007729381322860718
VAE,10,VAE2,24h,ce,-0.0020998716354370117
VAE,10,VAE2,24h,co,-0.007829219102859497
weighted_CPVAE,10,CPVAE2,1h,st,0.025535430759191513
weighted_CPVAE,10,CPVAE2,1h,SI1,0.022347450256347656
weighted_CPVAE,10,CPVAE2,1h,SI2,-0.0025085003580898046
weighted_CPVAE,10,CPVAE2,1h,SI3,-0.09731526672840118
weighted_CPVAE,10,CPVAE2,1h,SI4,-0.007368586491793394
weighted_CPVAE,10,CPVAE2,1h,SI5,-0.009017538279294968
weighted_CPVAE,10,CPVAE2,1h,SI6,-0.03750161826610565
weighted_CPVAE,10,CPVAE2,1h,SI7,-0.042386267334222794
weighted_CPVAE,10,CPVAE2,1h,SI8,-0.05817949026823044
weighted_CPVAE,10,CPVAE2,1h,SI9,-0.07730107009410858
weighted_CPVAE,10,CPVAE2,1h,ce,-0.128511443734169
weighted_CPVAE,10,CPVAE2,1h,co,-0.11161632835865021
weighted_CPVAE,10,CPVAE2,3h,st,0.015012973919510841
weighted_CPVAE,10,CPVAE2,3h,SI1,0.013138673268258572
weighted_CPVAE,10,CPVAE2,3h,SI2,-0.0014748156536370516
weighted_CPVAE,10,CPVAE2,3h,SI3,-0.057214293628931046
weighted_CPVAE,10,CPVAE2,3h,SI4,-0.004332192242145538
weighted_CPVAE,10,CPVAE2,3h,SI5,-0.005301655735820532
weighted_CPVAE,10,CPVAE2,3h,SI6,-0.02204822190105915
weighted_CPVAE,10,CPVAE2,3h,SI7,-0.024920038878917694
weighted_CPVAE,10,CPVAE2,3h,SI8,-0.03420530632138252
weighted_CPVAE,10,CPVAE2,3h,SI9,-0.04544740170240402
weighted_CPVAE,10,CPVAE2,3h,ce,-0.07555537670850754
weighted_CPVAE,10,CPVAE2,3h,co,-0.06562227010726929
weighted_CPVAE,10,CPVAE2,6h,st,0.00884891115128994
weighted_CPVAE,10,CPVAE2,6h,SI1,0.007744165603071451
weighted_CPVAE,10,CPVAE2,6h,SI2,-0.0008692823466844857
weighted_CPVAE,10,CPVAE2,6h,SI3,-0.03372311219573021
weighted_CPVAE,10,CPVAE2,6h,SI4,-0.002553470665588975
weighted_CPVAE,10,CPVAE2,6h,SI5,-0.003124889452010393
weighted_CPVAE,10,CPVAE2,6h,SI6,-0.012995610013604164
weighted_CPVAE,10,CPVAE2,6h,SI7,-0.014688310213387012
weighted_CPVAE,10,CPVAE2,6h,SI8,-0.020161209627985954
weighted_CPVAE,10,CPVAE2,6h,SI9,-0.026787500828504562
weighted_CPVAE,10,CPVAE2,6h,ce,-0.04453366994857788
weighted_CPVAE,10,CPVAE2,6h,co,-0.03867892548441887
weighted_CPVAE,10,CPVAE2,12h,st,-0.001095271552912891
weighted_CPVAE,10,CPVAE2,12h,SI1,-0.0009585319785401225
weighted_CPVAE,10,CPVAE2,12h,SI2,0.00010759518045233563
weighted_CPVAE,10,CPVAE2,12h,SI3,0.004174069035798311
weighted_CPVAE,10,CPVAE2,12h,SI4,0.0003160551132168621
weighted_CPVAE,10,CPVAE2,12h,SI5,0.00038678233977407217
weighted_CPVAE,10,CPVAE2,12h,SI6,0.0016085280803963542
weighted_CPVAE,10,CPVAE2,12h,SI7,0.0018180416664108634
weighted_CPVAE,10,CPVAE2,12h,SI8,0.002495448337867856
weighted_CPVAE,10,CPVAE2,12h,SI9,0.0033156154677271843
weighted_CPVAE,10,CPVAE2,12h,ce,0.005512142553925514
weighted_CPVAE,10,CPVAE2,12h,co,0.004787473473697901
weighted_CPVAE,10,CPVAE2,24h,st,-0.005551373586058617
weighted_CPVAE,10,CPVAE2,24h,SI1,-0.004858309868723154
weighted_CPVAE,10,CPVAE2,24h,SI2,0.0005453451303765178
weighted_CPVAE,10,CPVAE2,24h,SI3,0.021156229078769684
weighted_CPVAE,10,CPVAE2,24h,SI4,0.0016019223257899284
weighted_CPVAE,10,CPVAE2,24h,SI5,0.001960402587428689
weighted_CPVAE,10,CPVAE2,24h,SI6,0.008152808994054794
weighted_CPVAE,10,CPVAE2,24h,SI7,0.009214726276695728
weighted_CPVAE,10,CPVAE2,24h,SI8,0.012648154981434345
weighted_CPVAE,10,CPVAE2,24h,SI9,0.016805164515972137
weighted_CPVAE,10,CPVAE2,24h,ce,0.0279382411390543
weighted_CPVAE,10,CPVAE2,24h,co,0.024265261366963387
PCA,10,PC3,1h,st,0.10393472400927764
PCA,10,PC3,1h,SI1,0.9802185860076883
PCA,10,PC3,1h,SI2,-0.010869472967150726
PCA,10,PC3,1h,SI3,-0.4553589116214393
PCA,10,PC3,1h,SI4,-0.49701202895708346
PCA,10,PC3,1h,SI5,-0.5375034151674929
PCA,10,PC3,1h,SI6,-0.5905755340706572
PCA,10,PC3,1h,SI7,-0.5352345012837427
PCA,10,PC3,1h,SI8,-0.5182928790034456
PCA,10,PC3,1h,SI9,-0.36152807394336084
PCA,10,PC3,1h,ce,0.30292112503825463
PCA,10,PC3,1h,co,0.24973067245393338
